日期,啥都不管,41天开始,55开始
1,1.28994098,,
2,1.66394772,,
3,2.146394316,,
4,2.768721904,,
5,3.571487681,,
6,4.607008008,,
7,5.942767861,,
8,7.665818801,,
9,9.888452082,,
10,12.75551658,,
11,16.45385847,,
12,21.22449768,,
13,27.37833475,,
14,35.31641141,,
15,45.55604515,,
16,58.76454052,,
17,75.8026736,,
18,97.7807823,,
19,126.1311164,,
20,162.7011593,,
21,209.8739985,,
22,270.7235808,,
23,349.2149585,,
24,450.4625514,,
25,581.0632213,,
26,749.5258015,,
27,966.8249718,,
28,1247.115404,,
29,1608.652429,,
30,2074.978765,,
31,2676.453829,,
32,3452.224024,,
33,4452.760182,,
34,5743.123933,,
35,7407.169822,,
36,9552.947034,,
37,12319.63611,,
38,15886.44519,,
39,20483.99976,,
40,26408.89267,,
41,34042.21725,,
42,43873.08519,331.3985652,
43,56528.3216,322.9314482,
44,72809.71483,314.6037059,
45,93740.33672,306.419831,
46,120621.4695,298.3837748,
47,155101.4552,290.4989687,
48,199257.1241,282.7683478,
49,255687.0495,275.1943738,
50,327613.2724,267.7790585,
51,418983.7381,260.523987,
52,534560.7855,253.4303409,
53,679971.0224,246.4989219,
54,861678.7603,239.7301741,
55,1086830.288,233.124207,
56,1362903.896,226.6808171,2427.981841
57,1697099.385,220.3995099,2365.947757
58,2095424.303,214.2795208,2304.934798
59,2561497.704,208.3198355,2244.97588
60,3095203.171,202.5192101,2186.09995
61,3691464.306,196.87619,2128.33215
62,4339532.022,191.3891285,2071.693983
63,5023176.481,186.0562047,2016.203486
64,5721996.133,180.8754403,1961.875396
65,6413709.39,175.8447162,1908.721328
66,7076922.541,170.9617878,1856.749939
67,7693670.287,166.2242998,1805.967101
68,8251120.667,161.6298007,1756.37607
69,8742166.305,157.1757557,1707.977646
70,9165001.988,152.8595593,1660.770339
71,9522038.515,148.6785474,1614.750527
72,9818561.313,144.6300084,1569.912607
73,10061456.64,140.7111937,1526.249148
74,10258187.32,136.9193274,1483.751036
75,10416073.97,133.2516158,1442.407615
76,10541857.01,129.7052554,1402.206821
77,10641477.83,126.2774414,1363.135311
78,10720011.95,122.9653748,1325.178594
79,10781696.12,119.7662691,1288.321141
80,10830006.15,116.6773568,1252.54651
81,10867756.43,113.6958951,1217.837444
82,10897203.14,110.819171,1184.175981
83,10920141.12,108.0445065,1151.543551
84,10937989.87,105.3692628,1119.921065
85,10951866.95,102.7908441,1089.289004
86,10962649.11,100.3067016,1059.627502
87,10971022.38,97.91433652,1030.916422
88,10977522.39,95.61130316,1003.135425
89,10982566.7,93.39521146,976.2640438
90,10986480.38,91.26372939,950.2817389
91,10989516.3,89.21458501,925.1679606
92,10991870.99,87.24556836,900.9022019
93,10993697.1,85.35453306,877.464048
94,10995113.18,83.53939777,854.8332229
95,10996211.22,81.79814744,832.9896311
96,10997062.6,80.12883444,811.913397
97,10997722.7,78.52957954,791.5848994
98,10998234.49,76.99857273,771.9848049
99,10998631.28,75.53407402,753.0940961
100,10998938.9,74.13441411,734.894099
