date,新增,confirm,heal,dead,累计退出
2020/3/10,83,456,18,6,24
2020/3/11,134,590,18,10,4
2020/3/12,208,798,18,10,0
2020/3/13,342,1140,18,21,11
2020/3/14,342,1140,18,21,0
2020/3/15,403,1543,18,35,14
2020/3/16,403,1543,18,35,0
2020/3/17,676,2626,52,71,70
2020/3/18,676,2626,65,104,46
2020/3/19,643,3269,79,144,54
2020/3/20,714,3983,79,177,33
2020/3/21,1044,5027,98,234,76
2020/3/22,656,5683,98,281,47
2020/3/23,967,6650,98,335,54
2020/3/24,1427,8077,98,422,87
2020/3/25,1452,9529,140,465,85
2020/3/26,2129,11658,140,578,113
2020/3/27,2921,14579,140,759,181
2020/3/28,2510,17089,151,1019,271
2020/3/29,2433,19522,151,1228,209
2020/3/30,2619,22141,151,1408,180
2020/3/31,331,22472,179,1793,413
2020/4/1,7370,29842,179,2356,563
2020/4/2,4281,34123,191,2926,582
2020/4/3,4558,38681,205,3611,699
2020/4/4,3752,42433,209,4320,713
2020/4/5,5955,48388,215,4941,627
2020/4/6,63,48451,229,4943,16
2020/4/7,3851,52302,312,5385,525
2020/4/8,3655,55957,332,6171,806
