ÐòºÅ,date,confirm_add,confirm,heal,dead
0,2020/1/31,0,2,0,0
1,2020/2/1,0,2,0,0
2,2020/2/2,0,2,0,0
3,2020/2/3,0,2,0,0
4,2020/2/4,0,2,0,0
5,2020/2/5,0,2,0,0
6,2020/2/6,1,3,0,0
7,2020/2/7,0,3,0,0
8,2020/2/8,0,3,0,0
9,2020/2/9,0,3,0,0
10,2020/2/10,5,8,0,0
11,2020/2/11,0,8,0,0
12,2020/2/12,0,8,0,0
13,2020/2/13,1,9,0,0
14,2020/2/14,0,9,0,0
15,2020/2/15,0,9,0,0
16,2020/2/16,0,9,8,0
17,2020/2/17,0,9,8,0
18,2020/2/18,0,9,8,0
19,2020/2/19,0,9,8,0
20,2020/2/20,0,9,8,0
21,2020/2/21,0,9,8,0
22,2020/2/22,0,9,8,0
23,2020/2/23,0,9,8,0
24,2020/2/24,4,13,8,0
25,2020/2/25,0,13,8,0
26,2020/2/26,0,13,8,0
27,2020/2/27,2,15,8,0
28,2020/2/28,4,19,8,0
29,2020/2/29,3,23,8,0
30,2020/3/1,12,35,8,0
31,2020/3/2,5,40,8,0
32,2020/3/3,11,51,8,0
33,2020/3/4,34,85,8,0
34,2020/3/5,43,206,8,2
35,2020/3/6,73,163,8,2
36,2020/3/7,0,163,8,2
37,2020/3/8,46,319,18,3
38,2020/3/9,55,373,18,6
39,2020/3/10,83,456,18,6
40,2020/3/11,134,590,18,10
41,2020/3/12,208,798,18,10
42,2020/3/13,342,1140,18,21
43,2020/3/14,342,1140,18,21
44,2020/3/15,403,1543,18,35
45,2020/3/16,403,1543,18,35
46,2020/3/17,676,2626,52,71
47,2020/3/18,676,2626,65,104
48,2020/3/19,643,3269,79,144
49,2020/3/20,714,3983,79,177
50,2020/3/21,1044,5027,98,234
51,2020/3/22,656,5683,98,281
52,2020/3/23,967,6650,98,335
53,2020/3/24,1427,8077,98,422
54,2020/3/25,1452,9529,140,465
55,2020/3/26,2129,11658,140,578
56,2020/3/27,2921,14579,140,759
57,2020/3/28,2510,17089,151,1019
58,2020/3/29,2433,19522,151,1228
59,2020/3/30,2619,22141,151,1408
60,2020/3/31,331,22472,179,1793
61,2020/4/1,7370,29842,179,2356
62,2020/4/2,4281,34123,191,2926
63,2020/4/3,4558,38681,205,3611
64,2020/4/4,3752,42433,209,4320
65,2020/4/5,5955,48388,215,4941
66,2020/4/6,63,48451,229,4943
67,2020/4/7,3851,52302,312,5385
68,2020/4/8,3655,55957,332,6171
69,2020/4/9,5540,61497,353,7111
70,2020/4/10,4375,65872,367,7993
71,2020/4/11,13969,79841,599,9891
72,2020/4/12,5332,85173,625,10629
73,2020/4/13,4381,89554,303,11346
74,2020/4/14,5269,94823,323,12125
75,2020/4/15,4632,99455,365,12892
76,2020/4/16,4678,104133,370,13755
77,2020/4/17,4617,104145,375,13759
78,2020/4/18,11154,115299,414,15497
79,2020/4/19,5869,121168,427,16095
80,2020/4/20,6,121174,444,16095
81,2020/4/21,4682,125856,603,16550
82,2020/4/22,8779,134635,644,18141
83,2020/4/23,4608,139243,701,18790
84,2020/4/24,5389,144632,712,19559
85,2020/4/25,4922,149554,737,20380
86,2020/4/26,15,149569,778,20381
87,2020/4/27,4469,154038,781,20795
88,2020/4/28,4315,158353,809,21158
89,2020/4/29,3997,162350,813,21745
90,2020/4/30,4093,166443,857,26166
91,2020/5/1,6038,172481,861,26842
92,2020/5/2,6208,178689,892,27583
93,2020/5/3,4811,183500,896,28205
94,2020/5/4,4342,187842,902,28520
95,2020/5/5,3990,191832,910,28809
96,2020/5/6,4412,196244,926,29501
97,2020/5/7,6115,202359,957,30150
98,2020/5/8,5618,207977,987,30689
99,2020/5/9,8548,216525,1001,31662
100,2020/5/10,1,216526,1002,31662
101,2020/5/11,7801,224327,1007,32140
102,2020/5/12,3408,227735,1015,32768
103,2020/5/13,3249,230984,1025,33263
104,2020/5/14,3447,234431,1032,33692
105,2020/5/15,3570,238001,1045,34077
106,2020/5/16,3453,241454,1049,34546
107,2020/5/17,7,241461,1058,34546
108,2020/5/18,3534,244995,1058,34716
109,2020/5/19,2714,247709,1090,34876
110,2020/5/20,2432,250141,1101,35422
111,2020/5/21,2093,252234,1116,36124
112,2020/5/22,12,252246,1134,36124
113,2020/5/23,3298,255544,1142,36475
114,2020/5/24,2967,258511,1142,36757
115,2020/5/25,2405,260916,1151,36875
116,2020/5/26,5674,266590,1161,37130
117,2020/5/27,2025,268615,1162,37542
118,2020/5/28,5,268620,1166,37542
119,2020/5/29,1891,270511,1171,37919
120,2020/5/30,2104,272615,1173,38243
121,2020/5/31,3541,276156,1187,38571
122,2020/6/1,0,276156,1181,38571
123,2020/6/2,1582,277738,1221,39127
124,2020/6/3,1654,279392,1224,39452
125,2020/6/4,1878,281270,1212,39811
126,2020/6/5,3460,284730,1219,40344
127,2020/6/6,1650,283311,1230,40261
128,2020/6/7,2983,286294,1230,40548
